Player,Group,Team,Matches,Batting,Bowling,Fielding,Other,MOM,Total
Mehran Masih,B,Lenkerbeck Marl,5,174,0,24,0,0,198
Mohammad Afaq Mehar,E,CICC 1,4,11,177,8,0,0,196
Amey Potale,F,Challengers,5,187,0,8,0,0,195
Chandu Ranwala Ranwala Arachchige,D,Bonn CC Yellow,4,21,109,40,25,1,195
Leela Prasad Gurugubelli,C,Bonn Golden Stars,3,21,147,0,25,1,193
Waqas Ahmed,F,DWCC,6,60,112,20,0,0,192
Soham Popalghat,F,Koeln Kings,6,191,0,0,0,0,191
Haris Abbas,C,Ennepetal Green Tigers,4,112,62,16,0,0,190
Umer Farooq,F,Grey Caps Aachen,5,79,74,12,25,1,190
Muhammad Tayyab,D,Koeln Blasters,6,189,0,0,0,0,189
Mohammad Aziz Bhatti,A,Lemgo Leopards,4,-2,183,8,0,0,189
Ajit Kumar Vorabonia,E,Muelheim 1,4,74,64,26,25,1,189
Arsalan Ahmed,F,DWCC,6,27,135,24,0,0,186
Suleman Yar,C,Moenchengladbach,4,73,94,16,0,0,183
Yash Raj Singh,F,DWCC,6,63,96,24,0,0,183
Habibullah Stanikzai,A,Soest Strikers,2,117,41,0,25,1,183
Durai Subramaniam,F,DWCC,6,7,167,8,0,0,182
Riyan Adnan,A,VfB Fichte Bielefeld e.V.,4,67,94,20,0,0,181
Ramachandra Sivakumar Kumpatla,D,Koeln Blasters,5,1,151,28,0,0,180
Izharullah Mohammadi,B,PSV Aachen,3,21,122,12,25,1,180
Haider Ali,B,Moers United,4,85,70,0,25,1,180
Kesava Reddy Motati,F,Challengers,5,0,179,0,0,0,179
Sanjay Semwal,F,Challengers,4,138,0,16,25,1,179
Mohammed Shafi Nechithadathil,B,Westfalen Royals,5,5,146,28,0,0,179
Tahir Ahmad,A,Lemgo Leopards,4,125,40,14,0,0,179
Naga Guntur,F,Challengers,6,42,64,72,0,0,178
Tuan Mohamed Dilshan Rajudeen,C,Bonn CC Blue,3,150,25,0,0,0,175
Mubashar Inayat,D,Strass Rising Stars,4,34,110,30,0,0,174
Manoj Kumar Panthangi,E,SC Krefeld Spartans,4,87,43,44,0,0,174
Aryan Amirzai,E,SC Krefeld Spartans,1,104,70,0,0,0,174
Niamatullah Safi,E,Bonn Blue Stars,3,57,115,0,0,0,172
Durga Chanakya,B,SG Gelsenkirchen Muelheim U19,5,76,42,28,25,1,171
Paul Immanuel,C,Bonn Golden Stars,4,167,0,0,0,0,167
Imran Dinzada,A,Soest Strikers,3,94,72,0,0,0,166
Sagar Devangamath,D,Koeln Blasters,3,2,148,16,0,0,166
Amir Saeed,A,TUS Borgholzhausen,5,141,0,24,0,0,165
Jatin Lalwani,D,Koeln Blasters,1,11,119,8,25,1,163
Mohammad Sahil Wafa,C,Moers Hawks,5,20,104,38,0,0,162
Mohammad Zaki Sayad,B,Muelheim 2,10,123,0,38,0,0,161
Zain Ul Hassan,D,Strass Rising Stars,2,36,112,12,0,0,160
Abdul Hai,B,Muelheim 2,7,5,138,14,0,0,157
Mohammad Javad Faraz,C,Moers Hawks,5,122,0,34,0,0,156
Jay Tamakuwala,F,Gelsenkirchen United,4,38,93,24,0,0,155
Amar Bhandari,D,Blackcaps Bisons,5,28,91,36,0,0,155
Abad Arkam,B,Moers United,4,146,0,8,0,0,154
Izzatullah Shinwari,A,TUS Borgholzhausen,4,2,133,18,0,0,153
Usman Stanikzai,B,Muelheim 2,9,51,86,16,0,0,153
Usama Ali,D,Strass Rising Stars,4,152,0,0,0,0,152
Zarrar Kazi,F,Challengers,4,72,66,14,0,0,152
Mandeep Singh,E,Avengers,3,11,133,8,0,0,152
Vikram Jeet,E,Bonn Blue Stars,4,39,95,16,0,0,150
Safin Dhaly,F,Gelsenkirchen United,6,116,0,8,25,1,149
Burhanullah Masoom,A,VfB Fichte Bielefeld e.V.,4,7,142,0,0,0,149
Kuladeep Karimpati,E,Avengers,4,64,60,24,0,0,148
Udit Mehta,C,Blackcaps Bulls,4,33,90,24,0,0,147
Popal Katakheel,E,Blackcaps Legends,4,28,71,48,0,0,147
Nagendra Babu Donthi,F,Challengers,4,19,113,14,0,0,146
Amit Saini,D,Bonn Blue Stars United,4,72,42,32,0,0,146
Rubesh Palaniappan,F,Gelsenkirchen United,4,8,112,24,0,0,144
Akhil V S,F,Koeln Kings,6,80,48,16,0,0,144
Adeel Ahmad,F,Koeln Kings,4,75,0,44,25,1,144
Abid Miakhil,D,CICC Wizards,4,1,107,36,0,0,144
Asif Hasnain,A,Paderborn Sultans,5,108,11,24,0,0,143
Haroon Javed,E,Bonn Blue Stars,3,79,56,8,0,0,143
Rameez Deshmukh,F,Köln City Falcons CC,6,10,121,12,0,0,143
Dinush Dewanarayana,D,Bonn CC Yellow,5,-4,126,20,0,0,142
Ketan Raotole,D,Blackcaps Bisons,3,17,117,8,0,0,142
Sunil Hamal,E,CICC 1,4,33,92,16,0,0,141
Vinay Kashyap,F,Köln City Falcons CC,4,0,132,8,0,0,140
Rahmanullah Habibi,F,Köln City Falcons CC,5,0,110,30,0,0,140
Kashif Shahab,C,Blackcaps Bulls,4,53,52,34,0,0,139
Rishathman Sureshkar,A,Lemgo Warriors,3,52,87,0,0,0,139
Aman Kapoor,D,Bonn Blue Stars United,3,60,0,78,0,0,138
Venkata Raviteja Velamuri,E,Blackcaps Legends,4,15,100,22,0,0,137
Gurwinder singh nahal,C,Bonn Golden Stars,3,96,0,16,25,1,137
Honeyjit Singh Brar,D,Bonn Blue Stars United,4,121,0,16,0,0,137
Imranullah Rasooli,F,Koeln Kings,5,8,117,12,0,0,137
Ishan Singh Dhapola,E,Blackcaps Legends,2,46,82,8,0,0,136
Faheem Jan,D,Strass Rising Stars,2,73,49,14,0,0,136
Ghulam Rasul Ahmadi,E,Bonn Blue Stars,4,54,54,28,0,0,136
Javed Tayyab,D,CICC Wizards,3,30,90,16,0,0,136
Tarun Rawat,C,Blackcaps Bulls,5,113,0,22,0,0,135
Srinivas Nareshkumar,F,Challengers,6,15,104,16,0,0,135
Rizwan Ahmad Babar,A,Lemgo Leopards,4,38,97,0,0,0,135
Mabroor Ahmad Saad,B,PSV Aachen,1,63,72,0,0,0,135
Janeesh Vijayan,B,Westfalen Royals,4,126,0,8,0,0,134
Mashal Miakhel,A,VfB Fichte Bielefeld e.V.,3,101,22,8,0,0,131
Mirwali Jabarkheel,F,Gelsenkirchen United,3,89,0,16,25,1,130
Imtiaz Sardar,C,Bonn Golden Stars,3,0,130,0,0,0,130
Shreyas Anil Barapatre,D,Bonn Blue Stars United,3,-2,132,0,0,0,130
Abhay Subraya Mahale,F,SC Krefeld Mavericks,5,14,90,24,0,0,128
Siddharth Mudigulam,E,Avengers,4,42,62,24,0,0,128
Sabbir Ahmed Khan,A,Paderborn Sultans,4,55,73,0,0,0,128
Mubashir Hussain,F,Gelsenkirchen United,3,2,117,8,0,0,127
Khalid Ahmad,E,SC Krefeld Spartans,3,35,66,24,0,0,125
Saurabh Jadoun,D,Blackcaps Bisons,4,42,66,16,0,0,124
Hamdullah Niazai,A,Soest Strikers,4,17,98,8,0,0,123
Sadaqat Hotak,A,Soest Strikers,2,44,79,0,0,0,123
Asad Muhammad,E,Bonn Blue Stars,5,42,56,24,0,0,122
Harjot Singh,B,Lenkerbeck Marl,4,0,114,8,0,0,122
Syed Asghar Raza Rizvi,B,Moers United,4,56,65,0,0,0,121
Pradeep Kumar,E,Avengers,4,21,72,28,0,0,121
Waleed Ahmed,C,Bonn Golden Stars,4,50,51,18,0,0,119
Kaustubh Tambe,D,Koeln Blasters,3,18,101,0,0,0,119
Shaheer Nangarhari,E,Muelheim 1,4,-1,108,12,0,0,119
Said Agha Khalily,A,Soest Strikers,4,30,79,8,0,0,117
Senani Liyana Arachchige,D,Bonn CC Yellow,5,4,113,0,0,0,117
Nikhil Patil,E,Avengers,4,0,108,8,0,0,116
Humayun Humayun,E,SC Krefeld Spartans,3,92,24,0,0,0,116
Sahil Mulani,F,Grey Caps Aachen,5,77,0,36,0,0,113
Muhammad Rashid,B,PSV Aachen,2,-2,115,0,0,0,113
Kashif Khan,A,TUS Borgholzhausen,4,57,48,8,0,0,113
Nitish Kumar Mondal,A,Paderborn Sultans,4,95,5,12,0,0,112
Shahbaz Sadab,A,Paderborn Sultans,4,39,64,8,0,0,111
Pakhtoonyar Sahel,A,Paderborn Sultans,2,8,95,8,0,0,111
Krishnan Sahasranaman,F,Gelsenkirchen United,3,83,19,8,0,0,110
Mahboob Elahi Noor,E,SC Krefeld Spartans,2,109,0,0,0,0,109
Ahilan Ravinthran,F,SC Krefeld Mavericks,4,93,0,16,0,0,109
Rahul Srinivas,C,Blackcaps Bulls,5,67,0,42,0,0,109
Ebin Antu,F,SC Krefeld Mavericks,5,34,59,16,0,0,109
Saad Bin Hilal,D,Blackcaps Bisons,4,80,0,28,0,0,108
Prateek Dabholkar,F,Koeln Kings,4,10,76,22,0,0,108
Kiran Kumaraswamy,D,Bonn Blue Stars United,4,42,54,12,0,0,108
Sanket Kumar,B,Moers United,4,65,33,8,0,0,106
Muhammad Shafiullah Khadem,C,Bonn Golden Stars,4,72,20,14,0,0,106
Vimal Pillai,E,Blackcaps Legends,3,14,67,24,0,0,105
Qaisar Farooq,A,Paderborn Sultans,2,9,96,0,0,0,105
Prasad Buwanekabahu,D,Bonn CC Yellow,4,-2,94,12,0,0,104
Muhammad Asif Zar,F,Gelsenkirchen United,1,56,48,0,0,0,104
Tarandeep Singh,A,Lemgo Leopards,1,7,72,0,25,1,104
Abdul Maten Ashor,C,Moenchengladbach,4,82,0,22,0,0,104
Ahmed Fayyaz,C,Moers Hawks,3,27,69,8,0,0,104
Aniruddh Das,F,Gelsenkirchen United,3,36,47,20,0,0,103
Aravind Sankararaman Muthusubramanian,F,Challengers,6,30,64,8,0,0,102
Abdur Raheem,F,Grey Caps Aachen,2,3,90,8,0,0,101
Sudipro Ray,E,Blackcaps Legends,4,72,0,28,0,0,100
Ghulam Humayun Din Butt,E,SC Krefeld Spartans,5,83,0,16,0,0,99
Khwaja Ahsan Elahi,C,Moers Hawks,5,14,71,14,0,0,99
Vasanth Ramar,C,Bonn CC Blue,2,2,79,18,0,0,99
Aryan Amirzai,E,SC Krefeld Spartans,2,33,50,16,0,0,99
Muhammad Talha Asif Patel,C,Moers Hawks,4,55,43,0,0,0,98
Mohit Somani,D,Bonn Blue Stars United,4,59,0,14,25,1,98
Mohammed Daniyal Zaki,B,Moers United,3,8,87,0,0,0,95
Suvajit Basu,F,Koeln Kings,5,0,86,8,0,0,94
Hammad Khan,F,Grey Caps Aachen,2,-3,80,16,0,0,93
Maroof Ahmed Malik,C,Moers Hawks,4,32,15,46,0,0,93
Bannyjit Brar,E,Bonn Blue Stars,5,6,86,0,0,0,92
Khalil Zadran,A,TUS Borgholzhausen,5,63,0,28,0,0,91
Daljeet Singh Singh,A,Lemgo Leopards,1,63,2,0,25,1,90
Amandeep Singh,C,Ennepetal Green Tigers,4,43,47,0,0,0,90
Saksham Chugh,A,Paderborn Sultans,4,88,0,0,0,0,88
Rathina Vignesh Gopal,B,Westfalen Royals,5,21,59,8,0,0,88
Kailash Klair,B,PSV Aachen,3,64,0,24,0,0,88
Harsha Vardhan Parupalli,C,Bonn Golden Stars,5,26,23,38,0,0,87
Abrar Aslam,A,Lemgo Leopards,3,61,0,26,0,0,87
Bilal Imdad,A,Paderborn Sultans,4,-4,83,8,0,0,87
Abisheik Paneerselvam,F,SC Krefeld Mavericks,4,47,24,16,0,0,87
Rajat Sharma,F,DWCC,5,11,59,16,0,0,86
Asifullah Sahrai,D,Strass Rising Stars,1,18,68,0,0,0,86
Idrees Sadat,B,Moers United,4,13,57,16,0,0,86
Nawidullah Rasuli,E,Muelheim 1,2,27,57,0,0,0,84
Kartik Cari,F,SC Krefeld Mavericks,1,-2,70,16,0,0,84
Mustafa Ul Haq,E,SC Krefeld Spartans,2,8,67,8,0,0,83
Prashant Bhat,C,Bonn CC Blue,3,75,0,8,0,0,83
Rana Waseem Akhtar,D,Koeln City Adlers,2,83,0,0,0,0,83
Punit Jindal,D,Blackcaps Bisons,4,28,46,8,0,0,82
Muhammad Usman,A,Paderborn Sultans,5,80,0,0,0,0,80
Bharath Thumula,D,Bonn Blue Stars United,2,3,69,8,0,0,80
Praveen Ganesan,C,Blackcaps Bulls,4,46,20,14,0,0,80
Lovepreet Singh Bhullar,B,SC Krefeld Boosters,5,0,60,20,0,0,80
Safi Saliman,B,SG Gelsenkirchen Muelheim U19,1,63,17,0,0,0,80
Fawad F,D,Strass Rising Stars,1,30,50,0,0,0,80
Syed Ahsan Raza,E,Muelheim 1,2,52,22,6,0,0,80
Balaji Venkateswar,A,Paderborn Sultans,2,72,-1,8,0,0,79
Farooq Hussain,B,Moers United,3,63,0,16,0,0,79
Surendran Mahendran,A,Lemgo Warriors,2,39,24,16,0,0,79
Sangariar Safi,F,Köln City Falcons CC,3,0,62,16,0,0,78
Amin Khan Momand,B,PSV Aachen,1,0,50,28,0,0,78
Varun Khanna,E,Blackcaps Legends,4,0,72,6,0,0,78
Imran Salarzai,C,Bonn Golden Stars,1,6,72,0,0,0,78
Arman Samiullah,B,SG Gelsenkirchen Muelheim U19,1,73,5,0,0,0,78
Koushik Karanam,E,CICC 1,4,33,0,44,0,0,77
Manzil Samsudeen,D,Bonn CC Yellow,3,63,0,14,0,0,77
Zaffar Shaikh,E,Avengers,4,47,14,16,0,0,77
Alen Cheriyan Chinkuthara Francis,B,Westfalen Royals,4,8,45,24,0,0,77
Ramesh Babu Chintha,C,Bonn CC Blue,2,16,61,0,0,0,77
Abduljamil Hemat,E,Muelheim 1,3,12,57,8,0,0,77
Ashok Andrew,B,SC Krefeld Boosters,1,35,25,16,0,0,76
Sasikaran Xavier,A,Lemgo Warriors,4,1,75,0,0,0,76
Majeed Ahmadzai,C,Blackcaps Bulls,5,-3,70,8,0,0,75
Abdullah Khan,D,CICC Wizards,4,11,56,8,0,0,75
Asif Iqbal,A,Lemgo Leopards,3,63,0,12,0,0,75
Muhammad Naveed,B,Moers United,4,59,0,16,0,0,75
Mansoor Ahmad,C,Moenchengladbach,1,5,70,0,0,0,75
Muhammad Wajahat Shafique,B,Moers United,3,9,65,0,0,0,74
Sandeep Rawat,F,SC Krefeld Mavericks,4,12,38,24,0,0,74
Muhammad Zakir Khan,C,Bonn Golden Stars,3,13,0,60,0,0,73
