Player,Group,Team,Matches,Batting,Bowling,Fielding,Other,MOM,Total
Akshay Dhani,F,Koeln Kings,2,12,25,6,0,0,43
Pazeer Masoom,A,VfB Fichte Bielefeld e.V.,4,14,9,20,0,0,43
Siddharth Uppal,E,Avengers,1,-2,45,0,0,0,43
Vijay Anand Rathnavel,F,Challengers,5,-6,0,48,0,0,42
Srikanth Vaka,B,SC Krefeld Boosters,1,0,42,0,0,0,42
Muhammad Bashar Ali,C,Moers Hawks,5,39,-5,8,0,0,42
Shahbaz Ali,C,Ennepetal Green Tigers,4,42,0,0,0,0,42
Jithin Joy,B,Westfalen Royals,1,7,27,8,0,0,42
Saikumar S,D,Strass Rising Stars,1,-3,45,0,0,0,42
Benjamin Das,E,Blackcaps Legends,1,41,0,0,0,0,41
Nikhil Shinde,D,Bonn CC Yellow,2,31,2,8,0,0,41
Mohammad Hafizur Rahman,B,Muelheim 2,1,2,38,0,0,0,40
Bilal Khan Yusufzai,D,Strass Rising Stars,3,12,0,28,0,0,40
Dhiraj Manore,E,Avengers,2,32,0,8,0,0,40
Zain Masood,E,SC Krefeld Spartans,4,31,0,8,0,0,39
Jatinder Singh,E,Avengers,3,28,-3,14,0,0,39
Bipin Vishweswaraih,D,Bonn CC Yellow,1,12,27,0,0,0,39
Raheel Farooq,F,Gelsenkirchen United,1,3,27,8,0,0,38
Narayan Narvekar,C,Blackcaps Bulls,3,21,0,16,0,0,37
Mahboob Shah Hamdard,A,Soest Strikers,4,4,21,12,0,0,37
Bilal Sarfraz,C,Moers Hawks,1,-6,15,28,0,0,37
Jeevanandham Ramasamy,F,Gelsenkirchen United,1,3,25,8,0,0,36
Dhiraj Dhole,B,Westfalen Royals,3,20,0,16,0,0,36
Syed Mubasher Hassan,F,Grey Caps Aachen,1,5,19,12,0,0,36
Naeem Akthar,E,CICC 1,1,36,0,0,0,0,36
Naveed Stanekzai,E,Muelheim 1,4,0,36,0,0,0,36
Jiteesh Joy,E,Blackcaps Legends,4,11,0,24,0,0,35
Rajveer Sharma,C,Bonn CC Blue,3,-5,40,0,0,0,35
Arif Mohammad,F,Köln City Falcons CC,2,0,27,8,0,0,35
Mradul Kumar,E,Blackcaps Legends,3,35,0,0,0,0,35
Imran Salarzai,C,Bonn Golden Stars,2,7,22,6,0,0,35
Sharifollah Sherzad,F,Koeln Kings,2,1,25,8,0,0,34
Monjur Ahmed Likhon,D,Koeln City Adlers,2,13,21,0,0,0,34
Amir Mahmood Mubashar,D,Koeln City Adlers,2,34,0,0,0,0,34
Sanjay Gupta,A,Lemgo Leopards,4,17,0,16,0,0,33
Stephanus Johannes Herselman,D,Bonn CC Yellow,3,17,0,16,0,0,33
Syed Rofi Ahmed,A,VfB Fichte Bielefeld e.V.,2,33,0,0,0,0,33
Nazir Muhammad,A,TUS Borgholzhausen,5,11,0,22,0,0,33
Pradyumna Heddur Nagendra,C,Bonn CC Blue,3,24,0,8,0,0,32
Hayyan Jaffer,C,Moers Hawks,3,9,15,8,0,0,32
Varun Chakkapoyyan House,B,Westfalen Royals,4,32,0,0,0,0,32
Homan Nabizada,A,Paderborn Sultans,2,4,19,8,0,0,31
Aswin Narasimhan Srinivasa Raghavan,E,Blackcaps Legends,1,16,15,0,0,0,31
Ijaz Ahmed,D,Strass Rising Stars,1,-2,25,8,0,0,31
Suleman Kamalpoori,A,TUS Borgholzhausen,1,0,22,8,0,0,30
Dwarak Sekar,F,Koeln Kings,2,0,0,30,0,0,30
Jaspal Bijay,C,Ennepetal Green Tigers,3,30,0,0,0,0,30
Habibullah Stanikzai,A,Soest Strikers,1,8,22,0,0,0,30
Prateek Saxena,D,Bonn CC Yellow,3,29,0,0,0,0,29
Akarsha Kedalasara Rajesha,F,Köln City Falcons CC,3,1,0,28,0,0,29
Sohail Ahmed Emrani,D,Koeln City Adlers,2,13,0,16,0,0,29
Ihsanullah Yousafzai,A,Lemgo Leopards,4,0,21,8,0,0,29
Syamanta Rajbangshi,D,Blackcaps Bisons,5,12,0,16,0,0,28
Prudhvi Reddymalla,C,Blackcaps Bulls,3,27,0,0,0,0,27
Sajith Wickrama Surendra,D,Bonn CC Yellow,5,19,0,8,0,0,27
Rajesh Kumar,C,Moenchengladbach,4,27,0,0,0,0,27
Saqib Javed,A,TUS Borgholzhausen,3,18,0,8,0,0,26
Ashish Makkar,D,Bonn Blue Stars United,2,18,0,8,0,0,26
Atchuthan Balachandran,B,SC Krefeld Boosters,4,26,0,0,0,0,26
Arunraj Arunakulasingam,A,Lemgo Warriors,4,2,0,24,0,0,26
Sah Alom Alom Dhaly,F,Gelsenkirchen United,1,25,0,0,0,0,25
Ajmal Gujarwal,B,Muelheim 2,2,25,0,0,0,0,25
Zain Nizami,B,Lenkerbeck Marl,1,25,0,0,0,0,25
Muhammad Shafiullah Khadem,C,Bonn Golden Stars,1,-2,27,0,0,0,25
Malith Herath,B,SC Krefeld Boosters,1,0,25,0,0,0,25
Watandoost Kakajan,E,Bonn Blue Stars,1,0,25,0,0,0,25
Zeeshan Arshad,C,Ennepetal Green Tigers,1,5,19,0,0,0,24
Amal Baby Kottathu Veettil,D,CICC Wizards,4,-3,-1,28,0,0,24
Tallah Waqar,D,Koeln City Adlers,2,-1,25,0,0,0,24
Fahim Aikhil,E,Bonn Blue Stars,1,16,0,8,0,0,24
Kamran Khan,F,Gelsenkirchen United,2,0,7,16,0,0,23
Syeed Murtaza Shah,C,Ennepetal Green Tigers,1,-2,25,0,0,0,23
Qasim Javed,D,Blackcaps Bisons,1,0,22,0,0,0,22
Waqas Khan,D,Koeln City Adlers,1,0,22,0,0,0,22
Fahim Alikhil,E,Bonn Blue Stars,2,5,0,16,0,0,21
Sai Krishna Sundar,F,Challengers,2,1,20,0,0,0,21
Bharat Unny,A,Lemgo Leopards,1,0,5,16,0,0,21
Lovejeet Singh,B,SC Krefeld Boosters,1,0,0,20,0,0,20
Saad Siddique,F,Grey Caps Aachen,3,0,0,20,0,0,20
Hilal Amerkhil,A,Soest Strikers,1,0,20,0,0,0,20
Abdul Rahman Safi,B,PSV Aachen,1,0,20,0,0,0,20
Sashvin Vasee,F,SC Krefeld Mavericks,1,0,20,0,0,0,20
Kobikan Thanaskodi,A,Lemgo Warriors,3,1,19,0,0,0,20
Ahmed Waqar,D,Koeln City Adlers,1,20,0,0,0,0,20
Abdul Wakeel Ashori,C,Moenchengladbach,5,5,0,14,0,0,19
Grineshkumar Sanghavi,F,Koeln Kings,1,0,-1,20,0,0,19
Thivakaran Aritharan,B,SC Krefeld Boosters,2,3,4,12,0,0,19
Sabarisan Muruganantham,F,SC Krefeld Mavericks,3,3,0,16,0,0,19
Arulthas Analo,A,Lemgo Warriors,3,11,0,8,0,0,19
Sohail Ahmad,C,Bonn Golden Stars,1,10,0,8,0,0,18
Zaheer Ahmed,B,Lenkerbeck Marl,1,-2,20,0,0,0,18
Muhammad Rashid,B,PSV Aachen,1,12,-3,8,0,0,17
Sanil Bhatia,D,Blackcaps Bisons,2,9,0,8,0,0,17
Rehman Abdul,F,Grey Caps Aachen,4,17,0,0,0,0,17
Ignatious Varghese,B,Westfalen Royals,2,1,0,16,0,0,17
Farhan Shaukat,E,Bonn Blue Stars,2,16,0,0,0,0,16
Niaz Mohammad Nawaz,A,Soest Strikers,2,16,0,0,0,0,16
Gaurav Marwaha,D,CICC Wizards,3,8,0,8,0,0,16
Jibran Khan,D,CICC Wizards,1,13,2,0,0,0,15
Jithinmon Thankachan,B,Westfalen Royals,1,0,15,0,0,0,15
Bryan Rattan,C,Bonn CC Blue,2,-2,0,16,0,0,14
Pramod Sharma,D,Bonn Blue Stars United,4,6,0,8,0,0,14
Vijayaraghavan Moorthy,F,Challengers,2,2,12,0,0,0,14
Niaz Mohammad Nawaz,A,Soest Strikers,2,14,0,0,0,0,14
Danuja Jayasinghe,F,DWCC,5,0,0,14,0,0,14
Abdul Qadir Khan,B,PSV Aachen,3,-2,0,16,0,0,14
Baryalai I Raeskhil,A,Soest Strikers,2,-2,0,16,0,0,14
Ali Shan,B,Moers United,3,5,-8,16,0,0,13
Omkar Shiriskar,D,Koeln Blasters,3,13,0,0,0,0,13
Zarullah Barikzai,A,Lemgo Leopards,2,5,0,8,0,0,13
Imran Muhammad,B,Lenkerbeck Marl,2,5,0,8,0,0,13
Suraj Gopalakrishnan,A,Paderborn Sultans,1,13,0,0,0,0,13
Bilal Ahmadzai,A,VfB Fichte Bielefeld e.V.,1,-2,15,0,0,0,13
Paul Immanuel,C,Bonn Golden Stars,1,13,0,0,0,0,13
Asghar Sai,D,Strass Rising Stars,2,13,0,0,0,0,13
Tharu Karan,D,CICC Wizards,1,-2,15,0,0,0,13
Surkhradi Fawad,D,Strass Rising Stars,1,16,-3,0,0,0,13
Shamim Molla,A,VfB Fichte Bielefeld e.V.,1,12,0,0,0,0,12
Falak Sher,C,Moers Hawks,2,4,0,8,0,0,12
Hammad Ahmad Bhatti,C,Ennepetal Green Tigers,1,7,5,0,0,0,12
Ahsan Ahmed,B,SG Gelsenkirchen Muelheim U19,6,4,0,8,0,0,12
Shiyamsundar Narayanan,F,SC Krefeld Mavericks,4,16,-5,0,0,0,11
Sravan Kumar Jagadeesh,D,Koeln Blasters,5,-2,1,12,0,0,11
Muhammad Baseer Asghar,D,Bonn CC Yellow,3,12,-1,0,0,0,11
Hilal Amerkhil,A,Soest Strikers,2,3,0,8,0,0,11
Aakash Pandey,D,Blackcaps Bisons,3,1,10,0,0,0,11
Faheem M,D,Strass Rising Stars,1,3,0,8,0,0,11
Ejaz Uddin Hashmi,D,Strass Rising Stars,1,10,0,0,0,0,10
Abdul Rehman,F,DWCC,1,2,0,8,0,0,10
Farmanullah Miakhel,E,Bonn Blue Stars,2,0,2,8,0,0,10
Hassan Jaffar,A,TUS Borgholzhausen,2,2,0,8,0,0,10
Jatin Jatin,C,Bonn Golden Stars,1,10,0,0,0,0,10
Hassan Ahmed,B,SG Gelsenkirchen Muelheim U19,5,1,-3,12,0,0,10
Naeem Akhtar,E,CICC 1,1,10,0,0,0,0,10
Fahim Alikhil,E,Bonn Blue Stars,1,-2,0,12,0,0,10
Aravind Kumar Naule,E,Avengers,2,9,0,0,0,0,9
Shamim Ahmed,A,VfB Fichte Bielefeld e.V.,1,1,0,8,0,0,9
Waqas Tahir,B,PSV Aachen,2,6,-5,8,0,0,9
Rashpinder Singh,E,Bonn Blue Stars,3,9,0,0,0,0,9
Avinash Rana,D,CICC Wizards,1,9,0,0,0,0,9
Padam Nagarkoti,E,CICC 1,3,-3,0,12,0,0,9
Kishor Kumar,C,Ennepetal Green Tigers,1,1,0,8,0,0,9
Sashvin Vaseekaran,F,SC Krefeld Mavericks,1,1,0,8,0,0,9
Ranjit Singh,E,Bonn Blue Stars,1,8,0,0,0,0,8
Suhas Huliyar Subrahmanya,F,Koeln Kings,1,0,0,8,0,0,8
Midhun Chakravarthy,F,Gelsenkirchen United,2,8,0,0,0,0,8
Manjeet Singh,D,Blackcaps Bisons,1,0,0,8,0,0,8
Sudhir Kumar,B,PSV Aachen,1,8,0,0,0,0,8
Daniyal Admaney,E,Muelheim 1,1,8,0,0,0,0,8
Sumit Sahu,F,Grey Caps Aachen,1,0,0,8,0,0,8
Neeraj Sharma,C,Blackcaps Bulls,2,-2,1,8,0,0,7
Qasir Iqbal,C,Moenchengladbach,2,2,5,0,0,0,7
Anshad Pareekkutty,B,Westfalen Royals,2,7,0,0,0,0,7
Zohaib Baig,C,Moenchengladbach,1,4,2,0,0,0,6
Aman Singh,C,Ennepetal Green Tigers,2,9,-3,0,0,0,6
Sukhinder Singh Banwait,D,Koeln City Adlers,2,4,2,0,0,0,6
Janarthanam Mani,B,SC Krefeld Boosters,4,6,0,0,0,0,6
Poojan Shitansh Patel,C,Bonn Golden Stars,1,-2,0,8,0,0,6
Devanand Palur Palanivelu,C,Bonn Golden Stars,1,6,0,0,0,0,6
Farman Ullah,E,Bonn Blue Stars,1,-1,7,0,0,0,6
Mandeep Singh,C,Ennepetal Green Tigers,1,-2,0,8,0,0,6
Abbas Chaudry,B,Lenkerbeck Marl,3,5,0,0,0,0,5
Rafaqat Farooqi,C,Ennepetal Green Tigers,1,5,0,0,0,0,5
Bathiya Dias,D,Bonn CC Yellow,4,5,0,0,0,0,5
Zahid Iqbal,B,PSV Aachen,2,5,0,0,0,0,5
Koushik Chowdhury,D,Blackcaps Bisons,4,5,0,0,0,0,5
Ravish Talwar,D,Blackcaps Bisons,1,8,-3,0,0,0,5
Taha Kaleem,E,SC Krefeld Spartans,2,0,-4,8,0,0,4
Mohammad Sabir Wafa,B,Moers United,3,4,0,0,0,0,4
Addy Abuzar Bajwa,A,Lemgo Leopards,1,4,0,0,0,0,4
Albert Joseph,B,Westfalen Royals,2,-4,0,8,0,0,4
Muhammad Yasir Hanif,E,CICC 1,1,4,0,0,0,0,4
Saleemkhan Ahmedzai,C,Moenchengladbach,1,4,0,0,0,0,4
Koushik C,D,Blackcaps Bisons,1,4,0,0,0,0,4
Vijay Kumar Selvaraju,E,Blackcaps Legends,1,3,0,0,0,0,3
Shaiq Ahmad,A,Paderborn Sultans,2,3,0,0,0,0,3
Abdulrahman Safi,B,PSV Aachen,2,3,0,0,0,0,3
Nasir Virk,B,Muelheim 2,3,3,0,0,0,0,3
Tushar Marwaha,E,CICC 1,2,2,0,0,0,0,2
Mukesh Kumar Das,F,DWCC,1,0,2,0,0,0,2
Aniruddha Pal,F,DWCC,1,2,0,0,0,0,2
Bipin Vishweswaraih Angadi,D,Bonn CC Yellow,1,2,0,0,0,0,2
Abin Eapen Peter,B,Westfalen Royals,1,2,0,0,0,0,2
Hussnain Ghamman,C,Ennepetal Green Tigers,3,-3,-3,8,0,0,2
gul wali,B,PSV Aachen,1,2,0,0,0,0,2
Irtiza Butt,B,Lenkerbeck Marl,1,2,0,0,0,0,2
Vinod Rajamani,D,CICC Wizards,2,2,0,0,0,0,2
Waheed Ahmad,D,CICC Wizards,3,2,0,0,0,0,2
Ravish Talwar,D,Blackcaps Bisons,2,2,0,0,0,0,2
Jatin Jatin,C,Bonn Golden Stars,1,2,0,0,0,0,2
Asif Sahrai,D,Strass Rising Stars,1,0,2,0,0,0,2
Shukrullah Nizai,E,Muelheim 1,1,2,0,0,0,0,2
Yasir Hussain,B,PSV Aachen,1,1,0,0,0,0,1
Roshan Azeez,D,Bonn CC Yellow,1,1,0,0,0,0,1
Muhammad Gulistan,D,Strass Rising Stars,1,1,0,0,0,0,1
Samsuddin Remon Kazi,A,VfB Fichte Bielefeld e.V.,3,-1,2,0,0,0,1
Atharva Maid,D,Koeln Blasters,2,1,0,0,0,0,1
Shins Puthethu Iype,B,Westfalen Royals,1,1,0,0,0,0,1
Raz Muhammad Maroof,A,VfB Fichte Bielefeld e.V.,1,1,0,0,0,0,1
Usman Khan,C,Bonn Golden Stars,1,1,0,0,0,0,1
Sher Ali Stanikzei,B,SG Gelsenkirchen Muelheim U19,1,1,0,0,0,0,1
Bipin V,D,Bonn CC Yellow,1,1,0,0,0,0,1
Rapesan Vanarasa,A,Lemgo Warriors,3,1,0,0,0,0,1
Bazar Khan,E,Muelheim 1,1,1,0,0,0,0,1
Muhammad Oweis,F,Gelsenkirchen United,1,0,0,0,0,0,0
Nehal Trivedi,E,Blackcaps Legends,1,0,0,0,0,0,0
Tobias Sebastian Brücklmeier,C,Blackcaps Bulls,2,0,0,0,0,0,0
Wahab Perviz,A,VfB Fichte Bielefeld e.V.,2,0,0,0,0,0,0
Imdadullah Niazai,A,Soest Strikers,1,0,0,0,0,0,0
Sanger Amarkhil,A,Paderborn Sultans,1,0,0,0,0,0,0
Karanjit Singh Brar,E,Bonn Blue Stars,1,0,0,0,0,0,0
Aritharan Thayakaran,B,SC Krefeld Boosters,1,0,0,0,0,0,0
Mradul Kumar,E,Blackcaps Legends,1,0,0,0,0,0,0
Atul Kalra,F,Gelsenkirchen United,1,0,0,0,0,0,0
Akshit Agrey,B,SC Krefeld Boosters,1,0,0,0,0,0,0
Abdul Wahid Sayad,B,Muelheim 2,2,3,-3,0,0,0,0
Noor Ul Hooda,B,Muelheim 2,3,0,0,0,0,0,0
Sohail Mehdi Khan,C,Ennepetal Green Tigers,1,0,0,0,0,0,0
Omid Momand,F,Köln City Falcons CC,1,0,0,0,0,0,0
Ummar Butt,C,Ennepetal Green Tigers,1,0,0,0,0,0,0
Hammad Arnum,B,Moers United,1,0,0,0,0,0,0
Shakeel Amir,B,Lenkerbeck Marl,1,0,0,0,0,0,0
Sayed Rahim Sadet,B,Lenkerbeck Marl,1,0,0,0,0,0,0
Sindhoora Hegde,F,Köln City Falcons CC,1,0,0,0,0,0,0
Mohammed Mahfuzur Rahman,F,Köln City Falcons CC,1,0,0,0,0,0,0
Sufyan Ali,B,PSV Aachen,1,0,0,0,0,0,0
Muhammad Bilal Hussain,F,Grey Caps Aachen,1,0,0,0,0,0,0
Wahidullah Maroof,A,TUS Borgholzhausen,1,0,0,0,0,0,0
Sanaullah Safi,D,Koeln City Adlers,1,0,0,0,0,0,0
Muhammad Bilal,F,Grey Caps Aachen,2,0,0,0,0,0,0
Muhammad Bilal,F,Grey Caps Aachen,1,0,0,0,0,0,0
Suliman Dihqan,D,Koeln City Adlers,1,0,0,0,0,0,0
Gulaman Khogyani,A,VfB Fichte Bielefeld e.V.,2,0,0,0,0,0,0
Sangar Ajabzai,A,VfB Fichte Bielefeld e.V.,1,0,0,0,0,0,0
Zahid Iqbal,B,PSV Aachen,1,0,0,0,0,0,0
M.oder Sher,B,PSV Aachen,1,0,0,0,0,0,0
Faheem Methal,D,Strass Rising Stars,1,0,0,0,0,0,0
Kushik Chowdhury,D,Blackcaps Bisons,1,0,0,0,0,0,0
Saungweme Militant,D,Blackcaps Bisons,1,0,0,0,0,0,0
Srivarshan Sivasubramanian,C,Blackcaps Bulls,1,0,0,0,0,0,0
Lemar L,D,Strass Rising Stars,1,0,0,0,0,0,0
Devendra Bahudur Bahudur,E,CICC 1,1,0,0,0,0,0,0
Anandha Krishnan,A,VfB Fichte Bielefeld e.V.,1,0,0,0,0,0,0
Hazrat Nabi Hamdard,E,Muelheim 1,1,0,0,0,0,0,0
Wahidullah Shirzad,E,Muelheim 1,2,0,0,0,0,0,0
Waqas Tahir,B,PSV Aachen,1,0,-1,0,0,0,-1
Toki Tahmid Jinan,A,VfB Fichte Bielefeld e.V.,3,-4,-5,8,0,0,-1
Sabeeh Jerral,F,Grey Caps Aachen,3,4,-5,0,0,0,-1
Nilavishek Mukherjee,E,Avengers,1,-1,0,0,0,0,-1
Kamran Khan,E,CICC 1,1,-2,0,0,0,0,-2
Sutharshan Suthan Murugappan,E,Blackcaps Legends,1,-2,0,0,0,0,-2
Muzammal Hussain,C,Ennepetal Green Tigers,4,-4,2,0,0,0,-2
Zeeshan Arshad,C,Ennepetal Green Tigers,1,1,-3,0,0,0,-2
Sachin Chaudhary,E,Blackcaps Legends,1,-2,0,0,0,0,-2
Khurshid Mamond,B,Lenkerbeck Marl,2,-2,0,0,0,0,-2
Paul Jacob,B,Westfalen Royals,1,-2,0,0,0,0,-2
Ekhtiarullah Jabarkhil,A,VfB Fichte Bielefeld e.V.,1,-2,0,0,0,0,-2
Amit Mehta,C,Bonn Golden Stars,1,-2,0,0,0,0,-2
Bashir Ahmadzai,D,Strass Rising Stars,1,-2,0,0,0,0,-2
Sagar Basnet,D,CICC Wizards,1,-2,0,0,0,0,-2
Shail Patel,E,Blackcaps Legends,1,-2,0,0,0,0,-2
Harpreet H,D,Blackcaps Bisons,1,-2,0,0,0,0,-2
Sherali Stanikzai,B,SG Gelsenkirchen Muelheim U19,1,-2,0,0,0,0,-2
Sudhanva Shastri,F,DWCC,1,-2,0,0,0,0,-2
Murtuza Huusain,F,DWCC,1,-2,0,0,0,0,-2
Dhruv Khaitan,E,Blackcaps Legends,2,-2,0,0,0,0,-2
Hussain Ali,B,Muelheim 2,1,-2,0,0,0,0,-2
Ziyam Asif,B,Muelheim 2,1,-2,0,0,0,0,-2
Omar Sahak,B,Muelheim 2,1,-2,0,0,0,0,-2
Pranoy Tugnawat,E,Blackcaps Legends,3,-2,-1,0,0,0,-3
Jamroz Shirzad,A,Lemgo Leopards,2,0,-3,0,0,0,-3
Jobin Kuzhikandathil,C,Moenchengladbach,3,-3,0,0,0,0,-3
Roshin Manoj,B,Westfalen Royals,1,-3,0,0,0,0,-3
Prathamesh Swami,F,DWCC,5,-3,0,0,0,0,-3
Chetan Anbushivam,C,Bonn Golden Stars,1,-3,0,0,0,0,-3
Vijayanathan Vijayatheepan,B,SC Krefeld Boosters,3,0,-3,0,0,0,-3
Vamshi Malyala,F,SC Krefeld Mavericks,3,-3,0,0,0,0,-3
Hikmatullah Hekmat,D,Strass Rising Stars,2,2,-5,0,0,0,-3
Sulakshan Gnanasekaram,A,Lemgo Warriors,1,0,-3,0,0,0,-3
Gulistan G,D,Strass Rising Stars,1,-3,0,0,0,0,-3
James Henry Brown,A,Paderborn Sultans,2,-4,0,0,0,0,-4
Vivek Rajan,B,Westfalen Royals,1,-4,0,0,0,0,-4
Ahmed Malik Arslan,D,Koeln City Adlers,2,-5,0,0,0,0,-5
Muhammad Ammar Zafar,B,Muelheim 2,2,-1,-5,0,0,0,-6
Adyan Arkam,C,Moers Hawks,4,-14,0,0,0,0,-14
